method,model_version,dataset,num_members,num_non_members,num_samples,roc_auc,run_id,run_url,created_at
min_k_pp,audio-flamingo-2-1.5B,audioset,1000,1000,2000,0.516091,ymzluvj0,https://wandb.ai/nask-di/audio-benchmark/runs/ymzluvj0,2026-05-24T23:05:55Z
min_k_pp,audio-flamingo-2-1.5B,clotho,1000,648,1648,0.5690293209876544,plhy81e2,https://wandb.ai/nask-di/audio-benchmark/runs/plhy81e2,2026-05-24T23:05:52Z
min_k_pp,audio-flamingo-2-3B,audiocaps,1000,1000,2000,0.4353405,v0xeeawc,https://wandb.ai/nask-di/audio-benchmark/runs/v0xeeawc,2026-05-24T23:08:48Z
min_k_pp,audio-flamingo-2-3B,audioset,1000,1000,2000,0.494295,yz1ibu01,https://wandb.ai/nask-di/audio-benchmark/runs/yz1ibu01,2026-05-24T23:08:43Z
min_k_pp,audio-flamingo-2-3B,clotho,1000,648,1648,0.6257391975308642,ecthbtqo,https://wandb.ai/nask-di/audio-benchmark/runs/ecthbtqo,2026-05-24T23:07:55Z
min_k_pp,audio-flamingo-3-hf,audiocaps,1000,1000,2000,0.739176,h5e6npek,https://wandb.ai/nask-di/audio-benchmark/runs/h5e6npek,2026-05-24T22:33:49Z
min_k_pp,audio-flamingo-3-hf,audioset,1000,1000,2000,0.49682,a7o0iavz,https://wandb.ai/nask-di/audio-benchmark/runs/a7o0iavz,2026-05-24T22:35:41Z
min_k_pp,audio-flamingo-3-hf,clotho,1000,648,1648,0.7092422839506173,9g47gprg,https://wandb.ai/nask-di/audio-benchmark/runs/9g47gprg,2026-05-24T22:33:09Z
vl_mia_entropy,audio-flamingo-2-0.5B,audiocaps,1000,1000,2000,0.492126,q9l266m2,https://wandb.ai/nask-di/audio-benchmark/runs/q9l266m2,2026-05-24T22:39:23Z
vl_mia_entropy,audio-flamingo-2-0.5B,audioset,1000,1000,2000,0.529153,efaff185,https://wandb.ai/nask-di/audio-benchmark/runs/efaff185,2026-05-24T22:39:23Z
vl_mia_entropy,audio-flamingo-2-0.5B,clotho,1000,648,1648,0.534179012345679,dubkei3v,https://wandb.ai/nask-di/audio-benchmark/runs/dubkei3v,2026-05-24T22:39:23Z
vl_mia_entropy,audio-flamingo-2-1.5B,audiocaps,1000,1000,2000,0.494472,dqmazjc5,https://wandb.ai/nask-di/audio-benchmark/runs/dqmazjc5,2026-05-24T23:06:17Z
vl_mia_entropy,audio-flamingo-2-1.5B,audioset,1000,1000,2000,0.4782635,2w6idc1e,https://wandb.ai/nask-di/audio-benchmark/runs/2w6idc1e,2026-05-24T23:06:47Z
vl_mia_entropy,audio-flamingo-2-1.5B,clotho,1000,648,1648,0.526216049382716,ftmae6sn,https://wandb.ai/nask-di/audio-benchmark/runs/ftmae6sn,2026-05-24T23:06:25Z
vl_mia_entropy,audio-flamingo-2-3B,audiocaps,1000,1000,2000,0.522229,ib55gjuv,https://wandb.ai/nask-di/audio-benchmark/runs/ib55gjuv,2026-05-24T23:09:17Z
vl_mia_entropy,audio-flamingo-2-3B,audioset,1000,1000,2000,0.498813,5yhfrnuo,https://wandb.ai/nask-di/audio-benchmark/runs/5yhfrnuo,2026-05-24T23:09:20Z
vl_mia_entropy,audio-flamingo-2-3B,clotho,1000,648,1648,0.542020061728395,80mtd9w1,https://wandb.ai/nask-di/audio-benchmark/runs/80mtd9w1,2026-05-24T23:08:49Z
vl_mia_entropy,audio-flamingo-3-hf,audiocaps,1000,1000,2000,0.624429,n1148iem,https://wandb.ai/nask-di/audio-benchmark/runs/n1148iem,2026-05-24T22:36:53Z
vl_mia_entropy,audio-flamingo-3-hf,audioset,1000,1000,2000,0.498561,hewnpcu6,https://wandb.ai/nask-di/audio-benchmark/runs/hewnpcu6,2026-05-24T22:36:43Z
vl_mia_entropy,audio-flamingo-3-hf,clotho,1000,648,1648,0.662682098765432,zglzse8z,https://wandb.ai/nask-di/audio-benchmark/runs/zglzse8z,2026-05-24T22:36:16Z
yeom_perplexity,audio-flamingo-2-0.5B,audiocaps,1000,1000,2000,0.420889,wqyg4ba5,https://wandb.ai/nask-di/audio-benchmark/runs/wqyg4ba5,2026-05-24T22:38:18Z
yeom_perplexity,audio-flamingo-2-0.5B,audioset,1000,1000,2000,0.472622,33gx6enl,https://wandb.ai/nask-di/audio-benchmark/runs/33gx6enl,2026-05-24T22:38:22Z
yeom_perplexity,audio-flamingo-2-0.5B,clotho,1000,648,1648,0.5758240740740741,mz3arios,https://wandb.ai/nask-di/audio-benchmark/runs/mz3arios,2026-05-24T22:37:39Z
yeom_perplexity,audio-flamingo-2-1.5B,audiocaps,1000,1000,2000,0.423403,iunbzi24,https://wandb.ai/nask-di/audio-benchmark/runs/iunbzi24,2026-05-24T22:40:14Z
yeom_perplexity,audio-flamingo-2-1.5B,audioset,1000,1000,2000,0.485747,x1nhibp7,https://wandb.ai/nask-di/audio-benchmark/runs/x1nhibp7,2026-05-24T22:40:44Z
yeom_perplexity,audio-flamingo-2-1.5B,clotho,1000,648,1648,0.5854675925925926,le6gtfse,https://wandb.ai/nask-di/audio-benchmark/runs/le6gtfse,2026-05-24T22:39:40Z
yeom_perplexity,audio-flamingo-2-3B,audiocaps,1000,1000,2000,0.440092,orb8chik,https://wandb.ai/nask-di/audio-benchmark/runs/orb8chik,2026-05-24T23:06:47Z
yeom_perplexity,audio-flamingo-2-3B,audioset,1000,1000,2000,0.480666,37h1cp5e,https://wandb.ai/nask-di/audio-benchmark/runs/37h1cp5e,2026-05-24T23:06:50Z
yeom_perplexity,audio-flamingo-2-3B,clotho,1000,648,1648,0.6402530864197531,p4ffts5j,https://wandb.ai/nask-di/audio-benchmark/runs/p4ffts5j,2026-05-24T23:06:48Z
yeom_perplexity,audio-flamingo-3-hf,audiocaps,1000,1000,2000,0.718968,8nxpoa4h,https://wandb.ai/nask-di/audio-benchmark/runs/8nxpoa4h,2026-05-24T22:28:44Z
yeom_perplexity,audio-flamingo-3-hf,audioset,1000,1000,2000,0.505869,rc4yk1bs,https://wandb.ai/nask-di/audio-benchmark/runs/rc4yk1bs,2026-05-24T22:32:11Z
yeom_perplexity,audio-flamingo-3-hf,clotho,1000,648,1648,0.7632978395061728,1quebrei,https://wandb.ai/nask-di/audio-benchmark/runs/1quebrei,2026-05-24T22:28:52Z
